id,select_type,table,partitions,type,possible_keys,key,key_len,ref,rows,filtered,Extra
1,PRIMARY,c,NULL,ALL,NULL,NULL,NULL,NULL,599,100.00,"Using where"
4,"DEPENDENT SUBQUERY",<derived5>,NULL,ALL,NULL,NULL,NULL,NULL,7906,100.00,NULL
5,"DEPENDENT DERIVED",c2,NULL,ref,"PRIMARY,idx_fk_store_id,idx_fk_address_id,idx_last_name",idx_fk_store_id,1,sakila.c.store_id,299,100.00,"Using index; Using temporary"
5,"DEPENDENT DERIVED",p3,NULL,ref,idx_fk_customer_id,idx_fk_customer_id,2,sakila.c2.customer_id,26,100.00,NULL
3,"DEPENDENT SUBQUERY",p2,NULL,ref,idx_fk_customer_id,idx_fk_customer_id,2,sakila.c.customer_id,26,100.00,NULL
2,"DEPENDENT SUBQUERY",p,NULL,ref,idx_fk_customer_id,idx_fk_customer_id,2,sakila.c.customer_id,26,100.00,NULL
